Name
Infinity Polymart (Meerut)
"Jinlong Petrochem Corp. (Ningbo, China)"
"Jumeirah Crest Petrochem DMCC (Dubai, UAE)"
"Jumeirah Crest Trading DMCC (Dubai, UAE)"
Kandla Crystal Plastics
Kanha Exim
Kanha Faridabad Polymer Traders
Kanpur Kaveri Petrochem
Kanpur Sunrise Polymers
Kaveri Gurugram Petrochem
Kolkata Dynamic Chemplast
Krishna Trading Co. (Vasai)
"Lianhua Plastics Co., Ltd. (Shanghai, China)"
Lucknow Beacon Trading Co.
Lucknow Narmada Plastics
Ludhiana Shree Polychem
Ludhiana Tirupati Poly Hub
Mahadev Bengaluru Chemplast
Mahadev Commodities (Howrah)
Mangalam Poly Solutions
Mangalam Polytrade (Ludhiana)
"Marina Gate Polymers LLC (Dubai, UAE)"
Matrix Coimbatore Exim
Matrix Mumbai Exim
Matrix Polymart (Secunderabad)
Matrix Polytrade
Meerut Kanha Polymart
Meerut Umiya Polytrade
Metro Exim (Tiruppur)
Metro Polychemicals
Metro Polychemicals (Jodhpur)
Mumbai Pacific Polymer Traders
Narmada Chemplast
Narmada Polymers (Chennai)
Navkar Dahej Impex
Navkar Exim
Navkar Exim (Bengaluru)
Navneet Polychemicals
Navneet Polychemicals (Pithampur)
Navneet Trading Co.
Navneet Vasai Polymer Traders
Neelkanth Ghaziabad Polymer Traders
Neelkanth Petrochem (Ankleshwar)
Neelkanth Poly Hub (Panipat)
Noida Mahadev Polymart
Orbit Poly Hub
Orbit Polychemicals (Cuttack)
Pacific Impex (Lucknow)
"Palm Vista Polymers LLC (Dubai, UAE)"
"Palm Vista Trading DMCC (Dubai, UAE)"
Panipat Sunbeam Polychemicals
Paramount Commodities
"Pearl Coast Exim DMCC (Dubai, UAE)"
"Pearl Coast Polymers LLC (Dubai, UAE)"
Pioneer Polytrade (Meerut)
Prime Secunderabad Polymart
Pristine Vadodara Impex
Pune Omkar Polymers
Radiant Impex
Rajhans Polychemicals
Rajhans Silvassa Commodities
Reliable Plastics
Reliable Polytrade
Reliable Polytrade (Tiruppur)
Sahyadri Polymer Traders
Sai Impex (Vapi)
Sai Lucknow Polymer Traders
Sai Petrochem
Sai Thane Petrochem
Sai Trading Co.
"Sandshell Trading DMCC (Dubai, UAE)"
Shakti Chemplast (Navi Mumbai)
Shakti Kandla Commodities
Shakti Poly Solutions
Shakti Polymers (Hyderabad)
"Shengda Materials Trading Co. (Ningbo, China)"
Shree Polymers (Vapi)
Shreenath Plastics
Shubham Commodities
Shubham Impex
Siddhi Aurangabad Petrochem
Sigma Chemplast
Sigma Mysuru Commodities
Sigma Poly Hub (Meerut)
Sigma Polychemicals (Meerut)
"SilverPanda Materials Trading Co. (Qingdao, China)"
Stellar Agra Polymers
Stellar Cuttack Commodities
Stellar Polychem (Faridabad)
Stellar Polychemicals (Daman)
Sunbeam Ghaziabad Petrochem
Sunbeam Udaipur Plastics
Surat Ganga Exim
Surat Navneet Petrochem
Tapti Kanpur Polychemicals
Tapti Kochi Petrochem
Tapti Polytrade
Thane Aristo Poly Hub
Tirupati Ghaziabad Polymers
Tirupati Polytrade
Triveni Panipat Poly Solutions
Triveni Petrochem
Udaipur Aravali Polymer Traders
Udaipur Narmada Polychem
Umiya Petrochem (Gurugram)
Unity Petrochem
Urban Polychem (Jodhpur)
Urban Polymart
Urban Polytrade (Vasai)
Vadodara Apex Chemplast
Vadodara Godavari Exim
Vadodara Infinity Commodities
Vadodara Urban Poly Solutions
Vapi Devika Polychem
Vector Coimbatore Polymers
Velocity Thane Plastics
Velocity Trading Co.
Vertex Exim
Vindhya Petrochem
Zenith Kochi Petrochem
Zenith Polymers (Ghaziabad)
Zenith Udaipur Exim
