SrNo,Date,Sale Party,Quantity Sold,Sale Rate,Product,Grade,Company,Specific Grade,Purchase Party,Quantity Purchased,Purchase Rate
20036,2024-05-26,Galaxy Polymers Medical Devices (Gurugram),15000,117,4023WN,LD GP,Sabic,LD,Vertex Exim,15000,114
20037,2024-05-26,Radiant Kochi Renewables Pvt Ltd,8000,120,119ZJ,LL 1 Mfi Slip,Sabic,LL,Orbit Polychemicals (Cuttack),8000,117
20038,2024-05-26,Haridwar Galaxy Polymart,17000,118,Q1018H,LL 1 Mfi Slip,Lotrene,LL,Udaipur Narmada Polychem,17000,115
20039,2024-05-26,Devika Polymers Coatings (Jalandhar),11000,116,F0120L,LL 1 Mfi Slip,HMEL,LL,Ludhiana Tirupati Poly Hub,11000,115
20040,2024-05-27,Galaxy Secunderabad Moulders Pvt Ltd,9000,121,010F18S,LL 1 Mfi Slip,Opal,LL,Dahej Aristo Polymart,9000,118
20041,2024-05-27,Daman Umiya Agro Plast Pvt Ltd,14000,118,0209AA,LL 1 Mfi Non-Slip,Iran,LL,Desi Exim (Panipat),14000,116
20042,2024-05-27,Konark Footwear Pvt Ltd (Pithampur),14000,117,T03,PP Raffia,Oriential Energy,PP,"Marina Gate Polymers LLC (Dubai, UAE)",14000,116
20043,2024-05-27,Hiral Polychem (Durgapur),17000,117,AM120N,PP Moulding (12 Mfi),RIL,PP,Tirupati Ghaziabad Polymers,17000,114
20044,2024-05-27,Arham Cables Pvt Ltd (Noida),17000,116,F20S,LL 1 Mfi Slip,Gail,LL,"GreatWall Plastics Co., Ltd. (Shanghai, China)",17000,115
20045,2024-05-27,Chennai Aravali Sports Goods Pvt Ltd,13000,114,2103,LD Lamination,Sasol,LD,Galaxy Chemplast (Mysuru),13000,113
20046,2024-05-27,Omkar Furniture Pvt Ltd (Thane),13000,122,MH13,PP Moulding (13 Mfi),Opal,PP,Ghaziabad Bharat Polytrade,13000,120
20047,2024-05-27,Navkar Gurugram Medical Devices Pvt Ltd,12000,118,1350EG,PP Extrusion (35 Mfi),IOCL,PP,"Pearl Coast Polymers LLC (Dubai, UAE)",12000,117
20048,2024-05-27,Narmada Buildtech Pvt Ltd (Noida),10000,117,GRPLON30GF,30% Glass Filled Nylon,GRP,Nylon,Dahej Arham Polytrade,10000,116
20049,2024-05-27,Kandla Umiya Renewables Pvt Ltd,16000,116,7042,LL 2 Mfi Non-Slip,Luban,LL,Kanha Exim,16000,114
20050,2024-05-27,Udaipur Narmada Polychem,16000,122,861N,GPPS,Taita,GPPS,"Huaxin Polychem Co., Ltd. (Tianjin, China)",16000,120
20051,2024-05-27,Dahej Vindhya Films & Sheets Pvt Ltd,10000,114,1100N,PP Moulding (12 Mfi),AAPC,PP,Vadodara Apex Chemplast,10000,112
20052,2024-05-27,Nagpur Vindhya Packaging Pvt Ltd,14000,120,121H,ABS,LG,ABS,Arham Exim,14000,117
20053,2024-05-27,Navkar Bhiwandi Electricals Pvt Ltd,12000,123,2518,LD 2 Mfi Non-Slip,Sabic,LD,Vadodara Urban Poly Solutions,12000,122
20054,2024-05-27,Gurugram Sunrise Industrials Pvt Ltd,15000,123,5230,LD Heavy Duty,Borough,LD,Shakti Kandla Commodities,15000,122
20055,2024-05-28,Gurugram Sunrise Industrials Pvt Ltd,15000,119,J1020FF20,LD 2 Mfi Non-Slip,RIL,LD,Navneet Vasai Polymer Traders,15000,116
20056,2024-05-28,Prime Polymers Textiles (Mangaluru),12000,122,F2001S,LL 1 Mfi Slip,Opal,LL,"Jinlong Petrochem Corp. (Ningbo, China)",12000,119
20057,2024-05-28,Coimbatore Aristo Adhesives Pvt Ltd,10000,117,1030MG,PP Moulding (3 Mfi),IOCL,PP,Infinity Poly Solutions,10000,116
20058,2024-05-28,Sai Polymers Moulders (Kolkata),17000,120,F2001S,LL 1 Mfi Slip,Opal,LL,Pioneer Polytrade (Meerut),17000,117
20059,2024-05-28,Allied Aurangabad WaterTech Pvt Ltd,15000,121,B55H02,HD Blow Moulding,Opal,HD,Haridwar Galaxy Polymart,15000,118
20060,2024-05-28,Neelkanth Medical Devices Pvt Ltd (Nashik),9000,124,861N,GPPS,Taita,GPPS,Haridwar Galaxy Polymart,9000,122
20061,2024-05-28,Pioneer Polymers Housewares (Mangaluru),12000,114,F19010,LL 1 Mfi Slip,RIL,LL,Shakti Kandla Commodities,12000,111
20062,2024-05-28,Ankleshwar Prime Housewares Pvt Ltd,13000,117,332L,PPCP (7 MFI),Basell,PP,Devika Polymers (Udaipur),13000,116
20063,2024-05-28,Udaipur Narmada Polychem,15000,115,J1020FF20,LD 2 Mfi Non-Slip,RIL,LD,"SilverPanda Materials Trading Co. (Qingdao, China)",15000,113
20064,2024-05-28,Navneet Daman Adhesives Pvt Ltd,16000,120,5110,HD HM,Aryasasol,HM,Aravali Noida Trading Co.,16000,119
20065,2024-05-28,Kaveri Polymers Automotive Components (Chennai),15000,119,H030SG,PP Raffia,RIL,PP,"Jumeirah Crest Trading DMCC (Dubai, UAE)",15000,116
20066,2024-05-28,Kanpur Sunrise Polymers,18000,121,2106N,PP Moulding (12 Mfi),Luban,PP,"Shengda Materials Trading Co. (Ningbo, China)",18000,118
20067,2024-05-29,Core Polymers Textiles (Noida),13000,115,JF18010,LL 1 Mfi Non-Slip,RIL,LL,"Falaj Trading DMCC (Dubai, UAE)",13000,114
20068,2024-05-29,Faridabad Bluewave Chemplast,6000,115,C080,PPCP,RIL,PP,"Pearl Coast Polymers LLC (Dubai, UAE)",6000,112
20069,2024-05-29,Beacon Electricals Pvt Ltd (Hyderabad),8000,120,F2001S,LL 1 Mfi Slip,Opal,LL,Dynamic Polytrade,8000,117
20070,2024-05-29,Devika Polymers Coatings (Jalandhar),11000,114,EC7000,LD Lamination,Dow,LD,Howrah Pacific Polymer Traders,11000,113
20071,2024-05-29,Jodhpur Mangalam Packagers Pvt Ltd,14000,118,0725n,LD Heavy Duty,Tasnee,LD,Beacon Cuttack Poly Hub,14000,117
20072,2024-05-29,Pristine Vadodara Impex,18000,119,T3804,LL Roto Moulding,Opal,LL,"GoldRiver Materials Trading Co. (Tianjin, China)",18000,116
20073,2024-05-29,Silvassa Stride 3D Printing Pvt Ltd,21000,121,F0118L,LL 1 Mfi Non-Slip,HMEL,LL,Infinity Polychemicals (Pune),21000,120
20074,2024-05-29,Prime Renewables Pvt Ltd (Meerut),14000,125,801YY,LD Lamination,Titan,LD,Apex Impex (Cuttack),14000,122
20075,2024-05-29,Navkar Mangaluru Buildtech Pvt Ltd,13000,118,4025ZN,LD GP,Sabic,LD,"DragonGate Materials Trading Co. (Shanghai, China)",13000,117
20076,2024-05-29,Beacon Electricals Pvt Ltd (Hyderabad),13000,116,5110,HD HM,Aryasasol,HM,"Pearl Coast Polymers LLC (Dubai, UAE)",13000,114
20077,2024-05-30,Rajhans Mysuru Furniture Pvt Ltd,16000,114,F0218L,LL 2 Mfi Non-Slip,HMEL,LL,Umiya Petrochem (Gurugram),16000,113
20078,2024-05-30,Navneet Daman Adhesives Pvt Ltd,9000,118,H110MA,PP Moulding (11 Mfi),RIL,PP,"Pearl Coast Exim DMCC (Dubai, UAE)",9000,116
20079,2024-05-30,Devika Polymers Coatings (Jalandhar),16000,113,801YY,LD Lamination,Titan,LD,"GoldRiver Materials Trading Co. (Tianjin, China)",16000,111
20080,2024-05-30,Prime Renewables Pvt Ltd (Meerut),11000,118,17450,HD Injection Moulding (18 mfi),Dow,HD,Neelkanth Petrochem (Ankleshwar),11000,116
20081,2024-05-30,Cityline Appliances Pvt Ltd (Aurangabad),12000,119,332L,PPCP (7 MFI),Basell,PP,"DragonGate Materials Trading Co. (Shanghai, China)",12000,118
20082,2024-05-30,Sai Lucknow Polymer Traders,18000,127,020F18A,LL 2 Mfi Non-Slip,Opal,LL,"GoldRiver Materials Trading Co. (Tianjin, China)",18000,124
20083,2024-05-30,Mangaluru Velocity Recyclers Pvt Ltd,13000,109,FE3000,LD Heavy Duty,Lotrene,LD,Noida Mahadev Polymart,13000,108
20084,2024-05-30,Galaxy Surat Polychemicals,14000,118,801YY,LD Lamination,Titan,LD,"Pearl Coast Polymers LLC (Dubai, UAE)",14000,117
20085,2024-05-30,Zenith Polymers Automotive Components (Noida),11000,123,W20,PP Raffia,Gail,PP,Bhiwandi Rajhans Polymers,11000,121
20086,2024-05-30,Nagpur Millennium Textiles Pvt Ltd,12000,119,F01019S,LL 1 Mfi Slip,HPCL,LL,Navkar Exim (Bengaluru),12000,117
20087,2024-05-30,Urban Faridabad Medical Devices Pvt Ltd,13000,114,265MO,PPCP (7 Mfi),Borough,PP,Velocity Thane Plastics,13000,112
20088,2024-05-30,Siddhi Polymers Housewares (Kanpur),14000,114,6888,HD HM,Equate,HM,Narmada Chemplast,14000,113
20089,2024-05-30,Zenith Polymers Automotive Components (Noida),11000,113,52518,HD Injection Moulding,Iran,HD,Rajhans Silvassa Commodities,11000,111
20090,2024-05-31,Nexus Ghaziabad Pipes & Fittings Pvt Ltd,13000,114,F46003,HD Film,RIL,HD,Pristine Vadodara Impex,13000,111
20091,2024-05-31,Capital Polymers Films & Sheets (Hyderabad),11000,119,SRM100,PPCP,RIL,PP,Zenith Udaipur Exim,11000,117
20092,2024-05-31,Meerut Prime Appliances Pvt Ltd,13000,116,2100N,PP Moulding (12 Mfi),Luban,PP,Kanpur Kaveri Petrochem,13000,114
20093,2024-05-31,Agra Vindhya Sports Goods Pvt Ltd,7000,117,5000W,ABS,Taita,ABS,Kanpur Kaveri Petrochem,7000,115
20094,2024-05-31,Prime Renewables Pvt Ltd (Meerut),14000,115,18020,LL 2 Mfi Non-Slip,RIL,LL,Triveni Petrochem,14000,113
20095,2024-05-31,Stride Polymers Textiles (Gurugram),19000,118,MH13,PP Moulding (13 Mfi),Opal,PP,"Pearl Coast Polymers LLC (Dubai, UAE)",19000,115
20096,2024-05-31,Matrix Polymers Cables (Hyderabad),14000,116,5000W,ABS,Taita,ABS,Sai Lucknow Polymer Traders,14000,115
20097,2024-05-31,Udaipur Narmada Polychem,11000,114,1810T,LL 1 Mfi Slip,Basell,LL,"Marina Gate Polymers LLC (Dubai, UAE)",11000,111
20098,2024-05-31,Bharat WaterTech Pvt Ltd (Kandla),16000,121,1110MG,PP Moulding (11 Mfi),IOCL,PP,"Huanxin Petrochem Corp. (Xiamen, China)",16000,120
20099,2024-05-31,Core Polymers Textiles (Noida),13000,125,H030SG,PP Raffia,RIL,PP,Agra Sunbeam Plastics,13000,122
20100,2024-06-01,Meerut Krishna 3D Printing Pvt Ltd,14000,119,5230,LD Heavy Duty,Borough,LD,Anand Poly Hub,14000,117
20101,2024-06-01,Faridabad Siddhi Polymer Traders,11000,119,801YY,LD Lamination,Titan,LD,Sigma Polychemicals (Meerut),11000,117
20102,2024-06-01,Allied Jaipur Packagers Pvt Ltd,14000,112,H110QS,PP TQ,Nayara,PP,Orbit Poly Hub,14000,110
20103,2024-06-01,Gurugram Tapti Consumer Products Pvt Ltd,6000,124,FC21HN,LL 2 Mfi Slip,Qamar,LL,"Falaj Trading DMCC (Dubai, UAE)",6000,121
20104,2024-06-01,Unity Polymers Buildtech (Bengaluru),10000,114,R0150S,HD Raffia,HMEL,HD,Kandla Crystal Plastics,10000,112
20105,2024-06-01,Navi Mumbai Unity Renewables Pvt Ltd,16000,120,2221D,LD Heavy Duty,Basell,LD,Reliable Plastics,16000,118
20106,2024-06-01,Galaxy Polymers Medical Devices (Gurugram),19000,117,5032,PP Raffia,Exxon,PP,Velocity Thane Plastics,19000,116
20107,2024-06-01,Mangaluru Orbit Footwear Pvt Ltd,15000,118,222NP,PP Moulding (12 Mfi),Borough,PP,Siddhi Aurangabad Petrochem,15000,117
20108,2024-06-01,Nagpur Vindhya Packaging Pvt Ltd,13000,110,B56003,HD Blow Moulding,RIL,HD,Tapti Polytrade,13000,109
20109,2024-06-01,Core Polymers Textiles (Noida),15000,118,0209AA,LL 1 Mfi Non-Slip,Iran,LL,"Pearl Coast Exim DMCC (Dubai, UAE)",15000,115
20110,2024-06-01,Jodhpur Reliable Pipes & Fittings Pvt Ltd,12000,118,118NM,LL 1 Mfi Non-Slip,Sabic,LL,"DragonGate Materials Trading Co. (Shanghai, China)",12000,115
20111,2024-06-01,Anand Polymers Moulders (Hyderabad),17000,124,204000,LD Lamination,Basell,LD,"Jumeirah Crest Petrochem DMCC (Dubai, UAE)",17000,123
20112,2024-06-02,Reliable Delhi Adhesives Pvt Ltd,13000,120,GX20,LD Lamination Plain Bag,Sabic,LD,Orbit Polychemicals (Cuttack),13000,118
20113,2024-06-02,Konark Footwear Pvt Ltd (Pithampur),16000,120,1200YG,PP Thermoforming (20 Mfi),IOCL,PP,Prime Secunderabad Polymart,16000,117
20114,2024-06-02,Sigma Polymers Furniture (Indore),13000,123,SC203EL,GPPS,Supreme,GPPS,Noida Mahadev Polymart,13000,120
20115,2024-06-02,Nagpur Millennium Textiles Pvt Ltd,18000,113,HM120A,PP Moulding (12 Mfi),HPCL,PP,Radiant Impex,18000,112
20116,2024-06-02,Mahadev Lucknow Agro Plast Pvt Ltd,15000,118,Q1018H,LL 1 Mfi Slip,Lotrene,LL,"Pearl Coast Polymers LLC (Dubai, UAE)",15000,116
20117,2024-06-02,Bluewave Ankleshwar Electronics Pvt Ltd,13000,115,W20,PP Raffia,Gail,PP,Orbit Poly Hub,13000,114
20118,2024-06-02,Gurugram Neelkanth Trading Co.,11000,119,1200MC,PP Moulding (20 Mfi),IOCL,PP,"Jumeirah Crest Trading DMCC (Dubai, UAE)",11000,118
20119,2024-06-02,Kochi Stellar Textiles Pvt Ltd,12000,128,5000W,ABS,Taita,ABS,Bhiwandi Rajhans Polymers,12000,125
20120,2024-06-02,Ganga Pharma Packaging Pvt Ltd (Surat),13000,118,F2001A,LL 1 Mfi Non-Slip,Opal,LL,Kanha Faridabad Polymer Traders,13000,117
20121,2024-06-02,Allied Aurangabad WaterTech Pvt Ltd,9000,123,5110,HD HM,Aryasasol,HM,"Lianhua Plastics Co., Ltd. (Shanghai, China)",9000,120
20122,2024-06-02,Panipat Sunbeam Polychemicals,12000,118,C7100,LD Lamination,APC,LD,Howrah Pacific Polymer Traders,12000,117
20123,2024-06-03,Gurugram Neelkanth Trading Co.,15000,119,HR003,PP Raffia,MRPL,PP,Agra Sunbeam Plastics,15000,116
20124,2024-06-03,Heritage Polymers WaterTech (Durgapur),14000,123,2427F,LD Milk Pouch,Basell,LD,"Pearl Coast Exim DMCC (Dubai, UAE)",14000,120
20125,2024-06-03,Umiya Faridabad Footwear Pvt Ltd,11000,120,1925,LL 2 Mfi Slip,Tasnee,LL,Stellar Agra Polymers,11000,119
20126,2024-06-03,Kanha Electronics Pvt Ltd (Ludhiana),16000,118,1110MAS,PP Moulding (11 Mfi),IOCL,PP,"Falaj Trading DMCC (Dubai, UAE)",16000,116
20127,2024-06-03,Surat Dynamic Consumer Products Pvt Ltd,13000,120,HR033,PP Raffia,HPCL,PP,"Huanxin Petrochem Corp. (Xiamen, China)",13000,117
20128,2024-06-03,Heritage Polymers WaterTech (Durgapur),14000,120,2119,LD 2 Mfi Non-Slip,Sasol,LD,Kolkata Dynamic Chemplast,14000,117
20129,2024-06-03,Silvassa Stride 3D Printing Pvt Ltd,12000,118,1400MN,PP Moulding (40 Mfi),IOCL,PP,"BlueCrane Petrochem Corp. (Ningbo, China)",12000,117
20130,2024-06-03,Ankleshwar Prime Housewares Pvt Ltd,16000,123,121H,ABS,LG,ABS,"Jinlong Petrochem Corp. (Ningbo, China)",16000,120
20131,2024-06-03,Narmada WaterTech Pvt Ltd (Thane),16000,119,1070LA17,LD Lamination,RIL,LD,"Palm Vista Trading DMCC (Dubai, UAE)",16000,117
20132,2024-06-03,Indore Crescent Adhesives Pvt Ltd,16000,120,M12RR,PP Moulding (12 Mfi),HMEL,PP,"GoldRiver Materials Trading Co. (Tianjin, China)",16000,117
20133,2024-06-04,Matrix Polymers Cables (Hyderabad),15000,122,M0861S,HD Injection Moulding (8 mfi),HMEL,HD,Infinity Poly Solutions,15000,121
20134,2024-06-04,Gurugram Neelkanth Trading Co.,10000,123,FC21HN,LL 2 Mfi Slip,Qamar,LL,Udaipur Narmada Polychem,10000,121
20135,2024-06-04,Gurugram Sunrise Industrials Pvt Ltd,20000,116,2421H,LD 2 Mfi Non-Slip,Basell,LD,"Shengda Materials Trading Co. (Ningbo, China)",20000,114
20136,2024-06-04,Heritage Adhesives Pvt Ltd (Nashik),10000,117,LDU8918,LD Lamination,Tricolene,LD,"Desert Dunes Petrochem DMCC (Dubai, UAE)",10000,114
20137,2024-06-04,Kandla Crystal Plastics,12000,114,168MO,PP Moulding (10 Mfi),Borough,PP,Arham Exim,12000,113
20138,2024-06-04,Kanpur Sunrise Polymers,16000,123,BL3,HD Blow Moulding,Iran,HD,Infinity Poly Solutions,16000,120
20139,2024-06-04,Everest Poly Hub (Navi Mumbai),16000,116,AGILON35GF,35% Glass Filled Nylon,GRP,Nylon,"Jumeirah Crest Petrochem DMCC (Dubai, UAE)",16000,115
20140,2024-06-04,Ganga Polymers Pipes & Fittings (Surat),16000,126,SH731,HIPS,Supreme,HIPS,Aristo Commodities (Agra),16000,124
20141,2024-06-04,Mumbai Allied Buildtech Pvt Ltd,13000,116,100ey,PP TQ,RIL,PP,"GreatWall Plastics Co., Ltd. (Shanghai, China)",13000,115
20142,2024-06-04,Dynamic Polymart (Indore),9000,124,M60075,HD Injection Moulding,RIL,HD,"Jumeirah Crest Trading DMCC (Dubai, UAE)",9000,121
20143,2024-06-04,Chennai Aravali Sports Goods Pvt Ltd,18000,122,SC206,GPPS,Supreme,GPPS,Zenith Udaipur Exim,18000,119
20144,2024-06-04,Shreenath Polymers Sports Goods (Ghaziabad),12000,115,Q1018H,LL 1 Mfi Slip,Lotrene,LL,"Jumeirah Crest Trading DMCC (Dubai, UAE)",12000,112
20145,2024-06-05,Heritage Vapi Furniture Pvt Ltd,9000,116,2100N,PP Moulding (12 Mfi),Luban,PP,"SilverPanda Materials Trading Co. (Qingdao, China)",9000,114
20146,2024-06-05,Silvassa Stride 3D Printing Pvt Ltd,10000,124,AGILON35GF,35% Glass Filled Nylon,GRP,Nylon,"GreatWall Plastics Co., Ltd. (Shanghai, China)",10000,123
20147,2024-06-05,Silvassa Stride 3D Printing Pvt Ltd,11000,122,4025AS,LD GP,Tasnee,LD,Stellar Polychemicals (Daman),11000,119
20148,2024-06-05,Vapi Heritage Adhesives Pvt Ltd,15000,116,TR131,HD HM,Marlex,HM,Orbit Poly Hub,15000,114
20149,2024-06-05,Galaxy Polymers Medical Devices (Gurugram),11000,119,1018MA,LLM 1 Mfi Slip,Exxon,LL,"Pearl Coast Polymers LLC (Dubai, UAE)",11000,117
20150,2024-06-05,Jodhpur Reliable Pipes & Fittings Pvt Ltd,11000,125,2420E02,LD 2 Mfi Non-Slip,BPC,LL,Allied Polychemicals,11000,122
20151,2024-06-05,Zenith Polymers Stationery (Haridwar),14000,121,Lotrene 0710,LD Lamination,Lotrene,LD,Shubham Commodities,14000,119
20152,2024-06-05,Anand Polymers Moulders (Hyderabad),12000,119,T9,HD Raffia,Haldia,HD,"Jumeirah Crest Trading DMCC (Dubai, UAE)",12000,118
20153,2024-06-05,Infinity Ahmedabad Consumer Products Pvt Ltd,12000,122,DF50,HD HM,IOCL,HM,Pristine Vadodara Impex,12000,121
20154,2024-06-05,Narmada Buildtech Pvt Ltd (Noida),13000,121,2103,LD Heavy Duty,Sasol,LD,Reliable Polytrade (Tiruppur),13000,118
20155,2024-06-05,Heritage Polymers Electronics (Jaipur),8000,122,B52A003,HD Blow Moulding,Gail,HD,Shreenath Plastics,8000,121
20156,2024-06-05,Sigma Polychemicals (Meerut),6000,120,861N,GPPS,Taita,GPPS,Arham Poly Hub (Delhi),6000,117
20157,2024-06-05,Siddhi Polymers Recyclers (Mangaluru),15000,118,6147,HD MBM,Luban,HD,"Palm Vista Trading DMCC (Dubai, UAE)",15000,116
20158,2024-06-05,Pristine Vadodara Impex,15000,120,5502BN,HD Blow Moulding,Marlex,HD,"Lianhua Plastics Co., Ltd. (Shanghai, China)",15000,117
20159,2024-06-05,Bluewave Adhesives Pvt Ltd (Silvassa),10000,121,2050S,HD Injection Moulding (20 Mfi),HMEL,HD,Velocity Thane Plastics,10000,120
20160,2024-06-06,Paramount Polymers Stationery (Pune),17000,120,CM12RR,PPCP (12 MFI),HMEL,PP,Triveni Panipat Poly Solutions,17000,118
20161,2024-06-06,Navkar Gurugram Medical Devices Pvt Ltd,15000,118,H120IG,PP Moulding (12 Mfi),Nayara,PP,"Lianhua Plastics Co., Ltd. (Shanghai, China)",15000,117
20162,2024-06-06,Navkar Mangaluru Buildtech Pvt Ltd,13000,126,J1020FA20,LD 2 Mfi Non-Slip,RIL,LD,Stellar Polychem (Faridabad),13000,123
20163,2024-06-06,Nagpur Vindhya Packaging Pvt Ltd,6000,118,952,HD HM,Sabic,HM,"Jumeirah Crest Trading DMCC (Dubai, UAE)",6000,115
20164,2024-06-06,Prime Polymers Textiles (Mangaluru),16000,123,52GB003,HD Blow Moulding,RIL,HD,Neelkanth Petrochem (Ankleshwar),16000,120
20165,2024-06-06,Momentum Footwear Pvt Ltd (Delhi),12000,116,50MA180,HD Injection Moulding,RIL,HD,"Shengda Materials Trading Co. (Ningbo, China)",12000,114
20166,2024-06-06,Ganga Pharma Packaging Pvt Ltd (Surat),12000,122,BL3,HD Blow Moulding,Iran,HD,"Falaj Trading DMCC (Dubai, UAE)",12000,119
